stop_id_from;stop_id_to;movements_norm
785;757;0
785;738;0
785;708;0
785;710;0
785;700;0
785;714;0
785;720;0
785;711;0.078
785;717;0.03
785;669;0.045
785;612;0.198
785;546;0.042
785;533;0.03
785;587;0.006
785;564;0.009
785;532;0.051
785;509;0.063
785;535;0.03
785;563;0.057
785;600;0.051
785;623;0.054
785;616;0.015
785;114;0.024
785;102;0.018
785;104;0.006
785;653;0.012
785;661;0.012
785;675;0.006
785;677;0.006
785;659;0.006
785;641;0
785;624;0.003
785;604;0
785;603;0
785;621;0.003
785;649;0
757;738;0
757;708;0
757;710;0
757;700;0
757;714;0
757;720;0
757;711;0
757;717;0
757;669;0
757;612;0
757;546;0
757;533;0
757;587;0
757;564;0
757;532;0
757;509;0
757;535;0
757;563;0
757;600;0
757;623;0
757;616;0
757;114;0
757;102;0
757;104;0
757;653;0
757;661;0
757;675;0
757;677;0
757;659;0
757;641;0
757;624;0
757;604;0
757;603;0
757;621;0
757;649;0
738;708;0
738;710;0
738;700;0
738;714;0
738;720;0
738;711;0
738;717;0
738;669;0
738;612;0
738;546;0
738;533;0
738;587;0
738;564;0
738;532;0
738;509;0
738;535;0
738;563;0
738;600;0
738;623;0
738;616;0
738;114;0
738;102;0
738;104;0
738;653;0
738;661;0
738;675;0
738;677;0
738;659;0
738;641;0
738;624;0
738;604;0
738;603;0
738;621;0
738;649;0
708;710;0
708;700;0
708;714;0
708;720;0
708;711;0.159
708;717;0.057
708;669;0.09
708;612;0.396
708;546;0.087
708;533;0.06
708;587;0.012
708;564;0.018
708;532;0.102
708;509;0.129
708;535;0.06
708;563;0.114
708;600;0.102
708;623;0.108
708;616;0.03
708;114;0.051
708;102;0.036
708;104;0.009
708;653;0.024
708;661;0.027
708;675;0.009
708;677;0.015
708;659;0.009
708;641;0
708;624;0.006
708;604;0
708;603;0.003
708;621;0.003
708;649;0
710;700;0
710;714;0
710;720;0
710;711;0.276
710;717;0.102
710;669;0.159
710;612;0.69
710;546;0.15
710;533;0.105
710;587;0.024
710;564;0.033
710;532;0.18
710;509;0.225
710;535;0.105
710;563;0.198
710;600;0.177
710;623;0.186
710;616;0.054
710;114;0.09
710;102;0.063
710;104;0.018
710;653;0.045
710;661;0.045
710;675;0.015
710;677;0.024
710;659;0.015
710;641;0.003
710;624;0.009
710;604;0.003
710;603;0.003
710;621;0.006
710;649;0.003
700;714;0
700;720;0
700;711;0.225
700;717;0.105
700;669;0.162
700;612;0.705
700;546;0.153
700;533;0.108
700;587;0.024
700;564;0.033
700;532;0.183
700;509;0.228
700;535;0.105
700;563;0.201
700;600;0.18
700;623;0.189
700;616;0.054
700;114;0.09
700;102;0.066
700;104;0.018
700;653;0.045
700;661;0.045
700;675;0.018
700;677;0.024
700;659;0.015
700;641;0.003
700;624;0.009
700;604;0.003
700;603;0.003
700;621;0.006
700;649;0.003
714;720;0
714;711;0.099
714;717;0.087
714;669;0.168
714;612;0.741
714;546;0.162
714;533;0.114
714;587;0.024
714;564;0.036
714;532;0.192
714;509;0.24
714;535;0.111
714;563;0.213
714;600;0.189
714;623;0.201
714;616;0.057
714;114;0.096
714;102;0.069
714;104;0.018
714;653;0.048
714;661;0.048
714;675;0.018
714;677;0.027
714;659;0.018
714;641;0.003
714;624;0.009
714;604;0.003
714;603;0.003
714;621;0.006
714;649;0.003
720;711;0.018
720;717;0.03
720;669;0.102
720;612;0.558
720;546;0.12
720;533;0.084
720;587;0.018
720;564;0.027
720;532;0.144
720;509;0.18
720;535;0.084
720;563;0.159
720;600;0.141
720;623;0.15
720;616;0.042
720;114;0.072
720;102;0.051
720;104;0.015
720;653;0.036
720;661;0.036
720;675;0.012
720;677;0.021
720;659;0.012
720;641;0.003
720;624;0.009
720;604;0
720;603;0.003
720;621;0.006
720;649;0.003
711;717;0.021
711;669;0.129
711;612;1.329
711;546;0.381
711;533;0.27
711;587;0.057
711;564;0.087
711;532;0.456
711;509;0.57
711;535;0.264
711;563;0.504
711;600;0.45
711;623;0.477
711;616;0.135
711;114;0.225
711;102;0.162
711;104;0.045
711;653;0.111
711;661;0.114
711;675;0.042
711;677;0.063
711;659;0.042
711;641;0.006
711;624;0.024
711;604;0.003
711;603;0.012
711;621;0.015
711;649;0.006
717;669;0.003
717;612;0.042
717;546;0.027
717;533;0.024
717;587;0.006
717;564;0.006
717;532;0.039
717;509;0.048
717;535;0.024
717;563;0.045
717;600;0.039
717;623;0.042
717;616;0.012
717;114;0.021
717;102;0.015
717;104;0.003
717;653;0.009
717;661;0.009
717;675;0.003
717;677;0.006
717;659;0.003
717;641;0
717;624;0.003
717;604;0
717;603;0
717;621;0
717;649;0
669;612;0.054
669;546;0.063
669;533;0.108
669;587;0.03
669;564;0.042
669;532;0.225
669;509;0.282
669;535;0.132
669;563;0.249
669;600;0.222
669;623;0.237
669;616;0.066
669;114;0.111
669;102;0.081
669;104;0.021
669;653;0.057
669;661;0.057
669;675;0.021
669;677;0.03
669;659;0.021
669;641;0.003
669;624;0.012
669;604;0.003
669;603;0.006
669;621;0.006
669;649;0.003
612;546;0.102
612;533;0.309
612;587;0.156
612;564;0.288
612;532;1.524
612;509;1.902
612;535;0.885
612;563;1.686
612;600;1.497
612;623;1.59
612;616;0.45
612;114;0.756
612;102;0.54
612;104;0.144
612;653;0.375
612;661;0.384
612;675;0.138
612;677;0.207
612;659;0.135
612;641;0.015
612;624;0.084
612;604;0.012
612;603;0.036
612;621;0.051
612;649;0.021
546;533;0.078
546;587;0.072
546;564;0.24
546;532;1.581
546;509;1.974
546;535;0.918
546;563;1.749
546;600;1.554
546;623;1.647
546;616;0.465
546;114;0.783
546;102;0.561
546;104;0.15
546;653;0.39
546;661;0.399
546;675;0.144
546;677;0.216
546;659;0.141
546;641;0.018
546;624;0.087
546;604;0.015
546;603;0.036
546;621;0.051
546;649;0.024
533;587;0.006
533;564;0.027
533;532;0.336
533;509;0.534
533;535;0.249
533;563;0.474
533;600;0.42
533;623;0.447
533;616;0.126
533;114;0.213
533;102;0.153
533;104;0.042
533;653;0.105
533;661;0.108
533;675;0.039
533;677;0.057
533;659;0.039
533;641;0.006
533;624;0.024
533;604;0.003
533;603;0.009
533;621;0.015
533;649;0.006
587;564;0.006
587;532;0.114
587;509;0.348
587;535;0.207
587;563;0.393
587;600;0.351
587;623;0.372
587;616;0.105
587;114;0.177
587;102;0.126
587;104;0.033
587;653;0.087
587;661;0.09
587;675;0.033
587;677;0.048
587;659;0.033
587;641;0.003
587;624;0.018
587;604;0.003
587;603;0.009
587;621;0.012
587;649;0.006
564;532;0.015
564;509;0.081
564;535;0.096
564;563;0.228
564;600;0.201
564;623;0.216
564;616;0.06
564;114;0.102
564;102;0.072
564;104;0.021
564;653;0.051
564;661;0.051
564;675;0.018
564;677;0.027
564;659;0.018
564;641;0.003
564;624;0.012
564;604;0.003
564;603;0.006
564;621;0.006
564;649;0.003
532;509;0.054
532;535;0.12
532;563;0.546
532;600;0.63
532;623;0.669
532;616;0.189
532;114;0.318
532;102;0.228
532;104;0.06
532;653;0.159
532;661;0.162
532;675;0.057
532;677;0.087
532;659;0.057
532;641;0.006
532;624;0.036
532;604;0.006
532;603;0.015
532;621;0.021
532;649;0.009
509;535;0.042
509;563;0.348
509;600;0.831
509;623;1.125
509;616;0.318
509;114;0.534
509;102;0.384
509;104;0.102
509;653;0.264
509;661;0.27
509;675;0.099
509;677;0.147
509;659;0.096
509;641;0.012
509;624;0.057
509;604;0.009
509;603;0.024
509;621;0.036
509;649;0.015
535;563;0.12
535;600;0.495
535;623;1.335
535;616;0.486
535;114;0.816
535;102;0.585
535;104;0.156
535;653;0.405
535;661;0.414
535;675;0.15
535;677;0.225
535;659;0.147
535;641;0.018
535;624;0.09
535;604;0.015
535;603;0.039
535;621;0.054
535;649;0.024
563;600;0.192
563;623;1.002
563;616;0.771
563;114;1.719
563;102;1.233
563;104;0.33
563;653;0.855
563;661;0.873
563;675;0.315
563;677;0.474
563;659;0.309
563;641;0.036
563;624;0.189
563;604;0.03
563;603;0.081
563;621;0.114
563;649;0.051
600;623;0.243
600;616;0.36
600;114;1.677
600;102;1.584
600;104;0.426
600;653;1.098
600;661;1.125
600;675;0.408
600;677;0.609
600;659;0.396
600;641;0.048
600;624;0.243
600;604;0.039
600;603;0.105
600;621;0.147
600;649;0.063
623;616;0.066
623;114;0.585
623;102;1.107
623;104;0.384
623;653;0.99
623;661;1.014
623;675;0.366
623;677;0.549
623;659;0.357
623;641;0.042
623;624;0.219
623;604;0.036
623;603;0.093
623;621;0.132
623;649;0.057
616;114;0.114
616;102;0.402
616;104;0.273
616;653;0.897
616;661;0.918
616;675;0.333
616;677;0.498
616;659;0.324
616;641;0.039
616;624;0.198
616;604;0.033
616;603;0.084
616;621;0.12
616;649;0.051
114;102;0.18
114;104;0.234
114;653;1.608
114;661;2.166
114;675;0.783
114;677;1.173
114;659;0.765
114;641;0.09
114;624;0.465
114;604;0.075
114;603;0.201
114;621;0.282
114;649;0.123
102;104;0.063
102;653;0.834
102;661;2.37
102;675;1.134
102;677;1.698
102;659;1.107
102;641;0.132
102;624;0.675
102;604;0.108
102;603;0.291
102;621;0.408
102;649;0.177
104;653;0.063
104;661;0.321
104;675;0.288
104;677;0.543
104;659;0.354
104;641;0.042
104;624;0.216
104;604;0.036
104;603;0.093
104;621;0.129
104;649;0.057
653;661;0.081
653;675;0.135
653;677;0.477
653;659;0.39
653;641;0.048
653;624;0.237
653;604;0.039
653;603;0.102
653;621;0.144
653;649;0.063
661;675;0.129
661;677;0.891
661;659;1.575
661;641;0.252
661;624;1.281
661;604;0.207
661;603;0.552
661;621;0.774
661;649;0.339
675;677;0
675;659;0
675;641;0
675;624;0
675;604;0
675;603;0
675;621;0
675;649;0
677;659;0.045
677;641;0.024
677;624;0.279
677;604;0.057
677;603;0.15
677;621;0.21
677;649;0.093
659;641;0.006
659;624;0.159
659;604;0.063
659;603;0.207
659;621;0.291
659;649;0.129
641;624;0.069
641;604;0.048
641;603;0.327
641;621;0.585
641;649;0.255
624;604;0.006
624;603;0.069
624;621;0.228
624;649;0.126
604;603;0
604;621;0
604;649;0
603;621;0
603;649;0
621;649;0
649;619;0
649;599;0
649;606;0
649;626;0.159
649;642;0
649;656;0.18
649;676;0.06
649;674;0.207
649;660;0.312
649;652;0.15
649;105;0.03
649;103;0.162
649;115;0.264
649;614;0.141
649;628;0.042
649;618;0.054
649;594;0.075
649;570;0.072
649;541;0.078
649;503;0.039
649;530;0.021
649;552;0.027
649;590;0.018
649;531;0.012
649;549;0.018
649;615;0.06
649;663;0.021
649;718;0.003
649;715;0
649;698;0.021
649;709;0.015
649;708;0.003
649;736;0
649;745;0
649;784;0.006
619;599;0
619;606;0
619;626;0.087
619;642;0
619;656;0.12
619;676;0.039
619;674;0.141
619;660;0.21
619;652;0.102
619;105;0.018
619;103;0.111
619;115;0.177
619;614;0.096
619;628;0.03
619;618;0.036
619;594;0.051
619;570;0.051
619;541;0.054
619;503;0.027
619;530;0.015
619;552;0.018
619;590;0.012
619;531;0.009
619;549;0.012
619;615;0.039
619;663;0.015
619;718;0.003
619;715;0
619;698;0.012
619;709;0.009
619;708;0.003
619;736;0
619;745;0
619;784;0.006
599;606;0
599;626;0.078
599;642;0
599;656;0.249
599;676;0.081
599;674;0.291
599;660;0.435
599;652;0.207
599;105;0.039
599;103;0.228
599;115;0.369
599;614;0.195
599;628;0.06
599;618;0.075
599;594;0.105
599;570;0.102
599;541;0.111
599;503;0.054
599;530;0.027
599;552;0.039
599;590;0.024
599;531;0.015
599;549;0.027
599;615;0.084
599;663;0.03
599;718;0.006
599;715;0
599;698;0.027
599;709;0.021
599;708;0.006
599;736;0.003
599;745;0.003
599;784;0.009
606;626;0.054
606;642;0
606;656;0.567
606;676;0.234
606;674;0.831
606;660;1.239
606;652;0.594
606;105;0.114
606;103;0.648
606;115;1.053
606;614;0.558
606;628;0.171
606;618;0.213
606;594;0.297
606;570;0.294
606;541;0.315
606;503;0.153
606;530;0.081
606;552;0.108
606;590;0.072
606;531;0.045
606;549;0.075
606;615;0.237
606;663;0.084
606;718;0.018
606;715;0.003
606;698;0.078
606;709;0.06
606;708;0.018
606;736;0.006
606;745;0.006
606;784;0.03
626;642;0
626;656;0.357
626;676;0.279
626;674;1.233
626;660;1.842
626;652;0.885
626;105;0.168
626;103;0.963
626;115;1.563
626;614;0.831
626;628;0.255
626;618;0.315
626;594;0.438
626;570;0.435
626;541;0.468
626;503;0.225
626;530;0.12
626;552;0.159
626;590;0.108
626;531;0.069
626;549;0.111
626;615;0.354
626;663;0.126
626;718;0.027
626;715;0.006
626;698;0.117
626;709;0.09
626;708;0.024
626;736;0.009
626;745;0.009
626;784;0.045
642;656;0.024
642;676;0.033
642;674;0.267
642;660;0.504
642;652;0.243
642;105;0.045
642;103;0.264
642;115;0.429
642;614;0.228
642;628;0.069
642;618;0.087
642;594;0.12
642;570;0.12
642;541;0.129
642;503;0.063
642;530;0.033
642;552;0.045
642;590;0.03
642;531;0.018
642;549;0.03
642;615;0.096
642;663;0.033
642;718;0.006
642;715;0
642;698;0.033
642;709;0.024
642;708;0.006
642;736;0.003
642;745;0.003
642;784;0.012
656;676;0.024
656;674;0.333
656;660;1.206
656;652;0.747
656;105;0.144
656;103;0.813
656;115;1.32
656;614;0.702
656;628;0.216
656;618;0.267
656;594;0.372
656;570;0.369
656;541;0.396
656;503;0.192
656;530;0.099
656;552;0.135
656;590;0.09
656;531;0.057
656;549;0.093
656;615;0.3
656;663;0.105
656;718;0.021
656;715;0.003
656;698;0.099
656;709;0.075
656;708;0.021
656;736;0.006
656;745;0.006
656;784;0.039
676;674;0.072
676;660;0.48
676;652;0.594
676;105;0.144
676;103;0.819
676;115;1.329
676;614;0.708
676;628;0.216
676;618;0.267
676;594;0.372
676;570;0.369
676;541;0.399
676;503;0.192
676;530;0.102
676;552;0.135
676;590;0.09
676;531;0.057
676;549;0.093
676;615;0.3
676;663;0.105
676;718;0.021
676;715;0.003
676;698;0.099
676;709;0.075
676;708;0.021
676;736;0.006
676;745;0.006
676;784;0.039
674;660;0.147
674;652;0.342
674;105;0.159
674;103;1.119
674;115;1.818
674;614;0.966
674;628;0.297
674;618;0.366
674;594;0.51
674;570;0.507
674;541;0.546
674;503;0.264
674;530;0.138
674;552;0.186
674;590;0.123
674;531;0.081
674;549;0.129
674;615;0.411
674;663;0.147
674;718;0.03
674;715;0.006
674;698;0.135
674;709;0.105
674;708;0.03
674;736;0.009
674;745;0.009
674;784;0.051
660;652;0.264
660;105;0.225
660;103;2.928
660;115;6.051
660;614;3.216
660;628;0.987
660;618;1.221
660;594;1.701
660;570;1.686
660;541;1.818
660;503;0.876
660;530;0.459
660;552;0.618
660;590;0.414
660;531;0.264
660;549;0.426
660;615;1.368
660;663;0.486
660;718;0.102
660;715;0.018
660;698;0.447
660;709;0.348
660;708;0.099
660;736;0.03
660;745;0.03
660;784;0.171
652;105;0.036
652;103;0.87
652;115;3.507
652;614;2.46
652;628;0.756
652;618;0.933
652;594;1.299
652;570;1.29
652;541;1.389
652;503;0.669
652;530;0.351
652;552;0.471
652;590;0.315
652;531;0.204
652;549;0.327
652;615;1.047
652;663;0.372
652;718;0.078
652;715;0.012
652;698;0.342
652;709;0.267
652;708;0.075
652;736;0.024
652;745;0.024
652;784;0.132
105;103;0.081
105;115;0.6
105;614;0.885
105;628;0.351
105;618;0.432
105;594;0.603
105;570;0.597
105;541;0.645
105;503;0.309
105;530;0.162
105;552;0.219
105;590;0.147
105;531;0.093
105;549;0.15
105;615;0.486
105;663;0.171
105;718;0.036
105;715;0.006
105;698;0.159
105;709;0.123
105;708;0.036
105;736;0.012
105;745;0.009
105;784;0.06
103;115;0.267
103;614;0.759
103;628;0.603
103;618;0.933
103;594;1.299
103;570;1.29
103;541;1.389
103;503;0.669
103;530;0.351
103;552;0.471
103;590;0.315
103;531;0.204
103;549;0.327
103;615;1.047
103;663;0.372
103;718;0.078
103;715;0.012
103;698;0.342
103;709;0.267
103;708;0.075
103;736;0.024
103;745;0.024
103;784;0.132
115;614;0.258
115;628;0.387
115;618;1.128
115;594;1.98
115;570;1.962
115;541;2.115
115;503;1.017
115;530;0.537
115;552;0.717
115;590;0.48
115;531;0.309
115;549;0.495
115;615;1.596
115;663;0.564
115;718;0.12
115;715;0.021
115;698;0.522
115;709;0.405
115;708;0.114
115;736;0.036
115;745;0.033
115;784;0.201
614;628;0.063
614;618;0.339
614;594;1.134
614;570;1.434
614;541;1.545
614;503;0.744
614;530;0.39
614;552;0.525
614;590;0.351
614;531;0.225
614;549;0.363
614;615;1.164
614;663;0.411
614;718;0.087
614;715;0.015
614;698;0.381
614;709;0.297
614;708;0.084
614;736;0.027
614;745;0.024
614;784;0.147
628;618;0.078
628;594;0.48
628;570;1.194
628;541;1.65
628;503;0.795
628;530;0.417
628;552;0.561
628;590;0.375
628;531;0.24
628;549;0.387
628;615;1.245
628;663;0.441
628;718;0.093
628;715;0.015
628;698;0.408
628;709;0.315
628;708;0.09
628;736;0.03
628;745;0.027
628;784;0.156
618;594;0.039
618;570;0.186
618;541;0.513
618;503;0.321
618;530;0.168
618;552;0.228
618;590;0.153
618;531;0.096
618;549;0.156
618;615;0.504
618;663;0.177
618;718;0.036
618;715;0.006
618;698;0.165
618;709;0.129
618;708;0.036
618;736;0.012
618;745;0.012
618;784;0.063
594;570;0.042
594;541;0.246
594;503;0.273
594;530;0.18
594;552;0.24
594;590;0.162
594;531;0.105
594;549;0.168
594;615;0.534
594;663;0.189
594;718;0.039
594;715;0.006
594;698;0.174
594;709;0.135
594;708;0.039
594;736;0.012
594;745;0.012
594;784;0.066
570;541;0.069
570;503;0.141
570;530;0.171
570;552;0.288
570;590;0.192
570;531;0.123
570;549;0.198
570;615;0.639
570;663;0.225
570;718;0.048
570;715;0.009
570;698;0.21
570;709;0.162
570;708;0.045
570;736;0.015
570;745;0.015
570;784;0.081
541;503;0.108
541;530;0.246
541;552;0.81
541;590;0.696
541;531;0.447
541;549;0.717
541;615;2.307
541;663;0.816
541;718;0.171
541;715;0.03
541;698;0.756
541;709;0.585
541;708;0.165
541;736;0.054
541;745;0.051
541;784;0.291
503;530;0.054
503;552;0.333
503;590;0.561
503;531;0.459
503;549;0.735
503;615;2.367
503;663;0.837
503;718;0.177
503;715;0.03
503;698;0.774
503;709;0.6
503;708;0.171
503;736;0.054
503;745;0.051
503;784;0.297
530;552;0.048
530;590;0.144
530;531;0.222
530;549;0.447
530;615;1.443
530;663;0.51
530;718;0.108
530;715;0.018
530;698;0.471
530;709;0.366
530;708;0.102
530;736;0.033
530;745;0.03
530;784;0.18
552;590;0
552;531;0
552;549;0
552;615;0
552;663;0
552;718;0
552;715;0
552;698;0
552;709;0
552;708;0
552;736;0
552;745;0
552;784;0
590;531;0.018
590;549;0.129
590;615;0.96
590;663;0.426
590;718;0.09
590;715;0.015
590;698;0.393
590;709;0.306
590;708;0.087
590;736;0.027
590;745;0.027
590;784;0.15
531;549;0.012
531;615;0.168
531;663;0.135
531;718;0.036
531;715;0.006
531;698;0.156
531;709;0.12
531;708;0.033
531;736;0.012
531;745;0.009
531;784;0.06
549;615;0.369
549;663;0.567
549;718;0.3
549;715;0.066
549;698;1.719
549;709;1.332
549;708;0.375
549;736;0.12
549;745;0.114
549;784;0.66
615;663;0.132
615;718;0.132
615;715;0.06
615;698;1.959
615;709;1.521
615;708;0.429
615;736;0.138
615;745;0.129
