stop_id_from;stop_id_to;movements_norm
660;115;66.37811
660;614;43.61365
652;115;41.70724
660;103;39.47147
15;600;36.06233
652;614;35.51466
17;600;31.76993
38;31;31.14262
514;447;28.73657
660;594;28.72565
32;39;28.02213
463;425;27.75167
9;600;27.21203
463;416;26.51347
509;600;26.25699
15;535;25.95194
652;594;24.82995
15;623;24.8085
9;32;24.80843
741;657;24.74169
9;15;24.66355
509;623;24.4782
616;653;24.38021
638;506;23.7036
11;600;23.58683
616;104;23.41907
463;449;23.16031
860;835;23.13777
487;600;23.06485
113;107;22.71592
17;623;22.67222
422;12;22.355
719;657;22.35325
106;112;22.35133
467;602;21.98419
609;469;21.89191
15;563;21.6628
102;661;21.58591
543;115;21.52392
32;37;21.4595
15;509;20.96519
114;653;20.27616
32;616;20.04696
115;594;19.8291
106;540;19.62647
535;623;19.62362
463;16;19.40807
639;713;19.40607
614;594;19.27413
639;695;18.96861
9;535;18.85388
13;600;18.82494
7;15;18.78277
38;650;18.77733
543;107;18.75482
468;465;18.71175
384;401;18.662
570;18;18.64905
616;102;18.64264
660;695;18.52618
17;535;18.42259
835;818;18.37271
87;96;18.36377
467;547;18.35988
600;40;18.03779
541;18;18.00656
626;660;17.84317
17;563;17.83518
111;115;17.79794
103;594;17.43988
9;509;17.43932
9;29;17.04432
105;614;17.03139
59;39;16.91376
11;535;16.83398
541;12;16.81933
9;623;16.76067
114;661;16.59718
488;114;16.52803
107;115;16.43913
609;481;16.41242
594;18;16.40283
656;660;16.3698
32;114;16.22842
600;114;16.20145
609;447;16.14774
113;115;16.11776
652;695;16.02263
676;115;16.01932
31;16;15.97862
741;39;15.88694
487;623;15.84459
445;456;15.82145
56;67;15.63772
9;563;15.60361
543;109;15.55376
628;570;15.51627
628;541;15.48246
11;509;15.43785
422;16;15.40513
594;503;15.34344
660;618;15.32953
719;39;15.26015
57;39;15.25365
600;102;15.24721
507;640;15.17428
11;623;15.16534
39;594;15.12461
676;652;15.11077
628;503;15.09357
758;657;15.08698
59;657;14.94431
426;465;14.92325
407;465;14.91455
29;35;14.76011
468;459;14.72951
660;105;14.69497
31;18;14.68244
575;660;14.57325
467;114;14.43871
32;35;14.42521
102;653;14.3403
491;12;14.32696
688;616;14.26807
660;628;14.26199
103;639;14.25877
58;67;14.15274
488;602;14.11121
503;615;14.00706
66;59;14.00692
102;654;14.00505
384;535;13.96984
39;570;13.94196
616;661;13.93198
661;630;13.93153
9;465;13.6804
425;16;13.61223
30;16;13.60684
612;11;13.574
69;59;13.53636
13;509;13.46716
421;465;13.46361
57;657;13.4469
515;114;13.43807
456;425;13.43662
384;477;13.38332
7;32;13.3578
694;39;13.33082
103;614;13.27874
652;618;13.2455
225;238;13.2344
548;447;13.22454
594;491;13.19626
463;456;13.19543
61;67;13.15756
719;594;13.07583
543;639;13.05805
467;639;13.04865
639;31;13.02976
9;17;12.99703
809;837;12.99344
835;803;12.96648
156;327;12.94224
11;563;12.90011
548;469;12.85112
620;115;12.84696
9;27;12.84013
407;459;12.80153
105;594;12.78344
746;612;12.76
827;818;12.72435
657;594;12.71641
382;535;12.70349
639;737;12.65528
563;114;12.65466
