stop_id;super_site_id;
1;1;ËÎÆÜ
2;1;ËÎÆÜ
3;2;ËÎÆÜ
4;2;ËÎÆÜ
5;3;ËÎÆÜ
6;3;ËÎÆÜ
7;4;ËÎÆÜ
8;4;ËÎÆÜ
9;5;ËÎÆÜ
10;5;ËÎÆÜ
11;6;ËÎÆÜ
12;6;ËÎÆÜ
13;7;ËÎÆÜ
14;7;ËÎÆÜ
15;8;ËÎÆÜ
16;8;ËÎÆÜ
17;9;ËÎÆÜ
18;9;ËÎÆÜ
19;10;ËÎÆÜ
20;10;ËÎÆÜ
21;11;ËÎÆÜ
22;11;ËÎÆÜ
23;12;ËÎÆÜ
24;12;ËÎÆÜ
25;12;ËÎÆÜ
26;12;ËÎÆÜ
27;12;ËÎÆÜ
28;12;ËÎÆÜ
29;12;ËÎÆÜ
30;12;ËÎÆÜ
31;13;ËÎÆÜ
32;13;ËÎÆÜ
33;14;ËÎÆÜ
34;14;ËÎÆÜ
35;15;ËÎÆÜ
36;15;ËÎÆÜ
37;16;ËÎÆÜ
38;16;ËÎÆÜ
39;17;ËÎÆÜ
40;17;ËÎÆÜ
41;18;ËÎÆÜ
42;18;ËÎÆÜ
43;19;ËÎÆÜ
44;19;ËÎÆÜ
45;19;ËÎÆÜ
46;19;ËÎÆÜ
47;20;ËÎÆÜ
48;20;ËÎÆÜ
49;21;ËÎÆÜ
50;21;ËÎÆÜ
52;22;ËÎÆÜ
53;22;ËÎÆÜ
54;22;ËÎÆÜ
55;22;ËÎÆÜ
56;23;ËÎÆÜ
57;23;ËÎÆÜ
58;24;ËÎÆÜ
59;24;ËÎÆÜ
60;25;ËÎÆÜ
61;25;ËÎÆÜ
62;26;ËÎÆÜ
63;26;ËÎÆÜ
64;26;ËÎÆÜ
65;26;ËÎÆÜ
66;26;ËÎÆÜ
67;26;ËÎÆÜ
68;26;ËÎÆÜ
69;26;ËÎÆÜ
70;27;ËÎÆÜ
71;27;ËÎÆÜ
72;28;ËÎÆÜ
73;28;ËÎÆÜ
74;29;ËÎÆÜ
75;29;ËÎÆÜ
76;30;ËÎÆÜ
77;30;ËÎÆÜ
78;31;ËÎÆÜ
79;31;ËÎÆÜ
80;32;ËÎÆÜ
81;32;ËÎÆÜ
82;33;ËÎÆÜ
83;33;ËÎÆÜ
84;34;ËÎÆÜ
85;34;ËÎÆÜ
86;33;ËÎÆÜ
87;33;ËÎÆÜ
88;35;ËÎÆÜ
89;35;ËÎÆÜ
90;35;ËÎÆÜ
91;35;ËÎÆÜ
92;36;ËÎÆÜ
93;36;ËÎÆÜ
94;36;ËÎÆÜ
95;36;ËÎÆÜ
96;37;ËÎÆÜ
97;37;ËÎÆÜ
98;38;ËÎÆÜ
99;38;ËÎÆÜ
100;39;ËÎÆÜ
101;39;ËÎÆÜ
102;40;ËÎÆÜ
103;40;ËÎÆÜ
104;41;ËÎÆÜ
105;41;ËÎÆÜ
106;42;ËÎÆÜ
107;42;ËÎÆÜ
108;43;ËÎÆÜ
109;43;ËÎÆÜ
110;43;ËÎÆÜ
111;43;ËÎÆÜ
112;43;ËÎÆÜ
113;43;ËÎÆÜ
114;44;ËÎÆÜ
115;44;ËÎÆÜ
116;45;ËÎÆÜ
117;45;ËÎÆÜ
118;46;ËÎÆÜ
119;46;ËÎÆÜ
120;46;ËÎÆÜ
121;46;ËÎÆÜ
122;47;ËÎÆÜ
123;47;ËÎÆÜ
124;48;ËÎÆÜ
125;48;ËÎÆÜ
126;48;ËÎÆÜ
127;48;ËÎÆÜ
128;48;ËÎÆÜ
129;48;ËÎÆÜ
130;48;ËÎÆÜ
131;48;ËÎÆÜ
132;48;ËÎÆÜ
133;48;ËÎÆÜ
134;49;ËÎÆÜ
135;49;ËÎÆÜ
136;49;ËÎÆÜ
137;49;ËÎÆÜ
138;50;ËÎÆÜ
139;50;ËÎÆÜ
140;51;ËÎÆÜ
141;51;ËÎÆÜ
142;52;ËÎÆÜ
143;52;ËÎÆÜ
144;52;ËÎÆÜ
145;52;ËÎÆÜ
146;52;ËÎÆÜ
147;52;ËÎÆÜ
148;52;ËÎÆÜ
149;52;ËÎÆÜ
150;52;ËÎÆÜ
151;52;ËÎÆÜ
152;52;ËÎÆÜ
153;52;ËÎÆÜ
154;52;ËÎÆÜ
155;52;ËÎÆÜ
156;53;ËÎÆÜ
157;53;ËÎÆÜ
158;54;ËÎÆÜ
159;54;ËÎÆÜ
160;55;ËÎÆÜ
161;55;ËÎÆÜ
162;56;ËÎÆÜ
163;56;ËÎÆÜ
164;56;ËÎÆÜ
165;56;ËÎÆÜ
166;56;ËÎÆÜ
167;56;ËÎÆÜ
168;57;ËÎÆÜ
169;57;ËÎÆÜ
170;57;ËÎÆÜ
171;57;ËÎÆÜ
172;56;ËÎÆÜ
173;56;ËÎÆÜ
174;57;ËÎÆÜ
175;57;ËÎÆÜ
176;57;ËÎÆÜ
177;57;ËÎÆÜ
178;56;ËÎÆÜ
179;56;ËÎÆÜ
180;58;ËÎÆÜ
181;58;ËÎÆÜ
182;58;ËÎÆÜ
183;59;ËÎÆÜ
184;59;ËÎÆÜ
185;60;ËÎÆÜ
186;60;ËÎÆÜ
187;58;ËÎÆÜ
188;58;ËÎÆÜ
189;60;ËÎÆÜ
190;60;ËÎÆÜ
191;60;ËÎÆÜ
192;60;ËÎÆÜ
193;58;ËÎÆÜ
194;58;ËÎÆÜ
195;223;ËÎÆÜ
196;60;ËÎÆÜ
197;224;ËÎÆÜ
198;60;ËÎÆÜ
199;58;ËÎÆÜ
200;58;ËÎÆÜ
201;61;ËÎÆÜ
202;61;ËÎÆÜ
203;62;ËÎÆÜ
204;62;ËÎÆÜ
205;64;ËÎÆÜ
206;225;ËÎÆÜ
207;226;ËÎÆÜ
208;63;ËÎÆÜ
209;63;ËÎÆÜ
210;58;ËÎÆÜ
211;58;ËÎÆÜ
212;63;ËÎÆÜ
213;227;ËÎÆÜ
214;228;ËÎÆÜ
215;64;ËÎÆÜ
216;64;ËÎÆÜ
217;229;ËÎÆÜ
218;230;ËÎÆÜ
219;64;ËÎÆÜ
220;64;ËÎÆÜ
221;58;ËÎÆÜ
222;64;ËÎÆÜ
223;64;ËÎÆÜ
224;58;ËÎÆÜ
225;65;ËÎÆÜ
226;64;ËÎÆÜ
227;65;ËÎÆÜ
228;65;ËÎÆÜ
229;64;ËÎÆÜ
230;66;ËÎÆÜ
231;66;ËÎÆÜ
232;58;ËÎÆÜ
233;58;ËÎÆÜ
234;64;ËÎÆÜ
235;64;ËÎÆÜ
236;67;ËÎÆÜ
237;67;ËÎÆÜ
238;65;ËÎÆÜ
239;65;ËÎÆÜ
240;68;ËÎÆÜ
241;68;ËÎÆÜ
242;69;ËÎÆÜ
243;69;ËÎÆÜ
244;70;ËÎÆÜ
245;70;ËÎÆÜ
246;231;ËÎÆÜ
247;58;ËÎÆÜ
248;58;ËÎÆÜ
249;70;ËÎÆÜ
250;71;ËÎÆÜ
251;70;ËÎÆÜ
252;71;ËÎÆÜ
253;70;ËÎÆÜ
254;70;ËÎÆÜ
255;232;ËÎÆÜ
256;58;ËÎÆÜ
257;58;ËÎÆÜ
258;70;ËÎÆÜ
259;70;ËÎÆÜ
260;233;ËÎÆÜ
262;233;ËÎÆÜ
263;234;ËÎÆÜ
264;70;ËÎÆÜ
265;70;ËÎÆÜ
266;235;ËÎÆÜ
267;235;ËÎÆÜ
268;72;ËÎÆÜ
269;72;ËÎÆÜ
270;73;ËÎÆÜ
271;73;ËÎÆÜ
272;70;ËÎÆÜ
273;70;ËÎÆÜ
274;70;ËÎÆÜ
275;70;ËÎÆÜ
276;74;ËÎÆÜ
277;74;ËÎÆÜ
278;236;ËÎÆÜ
279;75;ËÎÆÜ
280;75;ËÎÆÜ
281;70;ËÎÆÜ
282;70;ËÎÆÜ
283;237;ËÎÆÜ
284;73;ËÎÆÜ
285;73;ËÎÆÜ
286;238;ËÎÆÜ
287;76;ËÎÆÜ
288;76;ËÎÆÜ
289;70;ËÎÆÜ
290;70;ËÎÆÜ
291;77;ËÎÆÜ
292;77;ËÎÆÜ
293;76;ËÎÆÜ
294;76;ËÎÆÜ
295;83;ËÎÆÜ
296;239;ËÎÆÜ
297;55;ËÎÆÜ
298;80;ËÎÆÜ
299;78;ËÎÆÜ
300;78;ËÎÆÜ
301;240;ËÎÆÜ
302;79;ËÎÆÜ
303;79;ËÎÆÜ
304;80;ËÎÆÜ
305;79;ËÎÆÜ
306;80;ËÎÆÜ
307;70;ËÎÆÜ
308;86;ËÎÆÜ
309;70;ËÎÆÜ
310;241;ËÎÆÜ
311;54;ËÎÆÜ
312;242;ËÎÆÜ
313;54;ËÎÆÜ
314;77;ËÎÆÜ
315;77;ËÎÆÜ
316;80;ËÎÆÜ
317;80;ËÎÆÜ
318;81;ËÎÆÜ
319;81;ËÎÆÜ
320;82;ËÎÆÜ
321;82;ËÎÆÜ
322;83;ËÎÆÜ
323;83;ËÎÆÜ
324;243;ËÎÆÜ
325;84;ËÎÆÜ
326;75;ËÎÆÜ
327;85;ËÎÆÜ
328;85;ËÎÆÜ
329;86;ËÎÆÜ
330;84;ËÎÆÜ
331;86;ËÎÆÜ
332;75;ËÎÆÜ
333;87;ËÎÆÜ
334;87;ËÎÆÜ
335;88;ËÎÆÜ
336;88;ËÎÆÜ
337;89;ËÎÆÜ
338;89;ËÎÆÜ
339;77;ËÎÆÜ
340;77;ËÎÆÜ
341;88;ËÎÆÜ
342;84;ËÎÆÜ
343;87;ËÎÆÜ
344;84;ËÎÆÜ
345;86;ËÎÆÜ
346;88;ËÎÆÜ
347;86;ËÎÆÜ
348;87;ËÎÆÜ
349;89;ËÎÆÜ
350;89;ËÎÆÜ
351;90;ËÎÆÜ
352;90;ËÎÆÜ
353;70;ËÎÆÜ
354;84;ËÎÆÜ
355;84;ËÎÆÜ
356;90;ËÎÆÜ
357;89;ËÎÆÜ
358;90;ËÎÆÜ
359;70;ËÎÆÜ
360;77;ËÎÆÜ
361;89;ËÎÆÜ
362;77;ËÎÆÜ
363;88;ËÎÆÜ
364;86;ËÎÆÜ
365;86;ËÎÆÜ
366;88;ËÎÆÜ
367;91;ËÎÆÜ
368;91;ËÎÆÜ
369;92;ËÎÆÜ
370;92;ËÎÆÜ
371;93;ËÎÆÜ
372;91;ËÎÆÜ
373;93;ËÎÆÜ
374;91;ËÎÆÜ
375;84;ËÎÆÜ
376;91;ËÎÆÜ
377;84;ËÎÆÜ
378;91;ËÎÆÜ
379;86;ËÎÆÜ
380;86;ËÎÆÜ
381;94;ËÎÆÜ
382;95;ËÎÆÜ
383;95;ËÎÆÜ
384;95;ËÎÆÜ
385;94;ËÎÆÜ
386;86;ËÎÆÜ
387;86;ËÎÆÜ
388;244;ËÎÆÜ
389;96;ËÎÆÜ
390;97;ËÎÆÜ
