X;Y;super_site_id
4195591.078;7214392.729;201
4183627.062;7197362.625;2
4190279.645;7207603.466;20
4196497.22;7209486.653;204
4196573.204;7210560.952;205
4196168.224;7211155.476;202
4196517.264;7208926.512;203
4197638.952;7199614.792;208
4197856.105;7206331.094;209
4197753.955;7202674.582;206
4197314.411;7205369.229;207
4198352.101;7199280.671;211
4198452.221;7201370.01;212
4190585.997;7207973.115;21
4197875.642;7204526.018;210
4194214.011;7213392.636;187
4195546.689;7180796.77;188
4194111.869;7209178.616;185
4194102.635;7196131.682;186
4195039.722;7211873.325;190
4195169.508;7210846.163;191
4195125.521;7208999.01;189
4189545.203;7207897.006;19
4195783.683;7197762.658;194
4195628.547;7210757.884;195
4193468.614;7192200.513;192
4195299.208;7207754.559;193
4195974.408;7209771.354;198
4196045.104;7210250.572;199
4196339.952;7206485.794;196
4196719.108;7193865.023;197
4183828.124;7206477.025;114
4183980.242;7189001.043;115
4183392.865;7207875.017;112
4184378.346;7191821.36;113
4184608.131;7195452.803;118
4185501.242;7197154.02;119
4184000.203;7207754.645;116
4185389.945;7206574.774;117
4184534.225;7207678.676;121
4184666.471;7202308.218;122
4186800.023;7203070.921;12
4184413.108;7205668.541;120
4185373.699;7203416.214;125
4185717.629;7209817.238;126
4184759.154;7205961.309;123
4184808.904;7189460.567;124
4185115.826;7201359.571;10
4182610.178;7202372.112;100
4183479.75;7196657.182;1
4182821.184;7197981.207;103
4182867.827;7202879.677;104
4182665.281;7195275.242;101
4182726.173;7206890.574;102
4184377.458;7212328.168;107
4183280.109;7195122.968;108
4182953.209;7195388.479;105
4183018.553;7201117.698;106
4183769.778;7202880.568;110
4183420.826;7201709.111;111
4183238.687;7199354.973;109
4185541.179;7202293.412;11
4186289.676;7189986.857;143
4186469.259;7217274.875;144
4186241.375;7192016.616;141
4186293.74;7189468.447;142
4187207.805;7220254.131;147
4186823.511;7207325.609;148
4186867.955;7205747.976;145
4186985.265;7188041.357;146
4187752.134;7201113.72;150
4187232.385;7216974.309;151
4186725.785;7218188.798;149
4188347.139;7205329.819;15
4188009.499;7215182.166;154
4188362.223;7211514.536;155
4187942.087;7191149.472;152
4187597.184;7213158.064;153
4185241.659;7221539.584;129
4188843.401;7203844.312;13
4185161.62;7207649.992;127
4185285.686;7205091.267;128
4185738.478;7211278.842;132
4185824.416;7200460.337;133
4185605.896;7201047.634;130
4185741.817;7220391.894;131
4186199.807;7201656.596;136
